Time;GMSL
15/01/1993;-1.6
15/02/1993;-3.4
15/03/1993;5.5
15/04/1993;0.1
15/05/1993;5.3
15/06/1993;0.2
15/07/1993;3.9
15/08/1993;0.2
15/09/1993;3.1
15/10/1993;-0.1
15/11/1993;0.5
15/12/1993;3.2
15/01/1994;2.9
15/02/1994;0.2
15/03/1994;9.3
15/04/1994;6.6
15/05/1994;2.7
15/06/1994;2.4
15/07/1994;1.5
15/08/1994;3.4
15/09/1994;-0.1
15/10/1994;3.4
15/11/1994;-3.5
15/12/1994;4.0
15/01/1995;2.3
15/02/1995;6.5
15/03/1995;6.9
15/04/1995;10.0
15/05/1995;2.5
15/06/1995;7.8
15/07/1995;0.7
15/08/1995;7.1
15/09/1995;5.0
15/10/1995;7.6
15/11/1995;3.1
15/12/1995;9.5
15/01/1996;0.1
15/02/1996;12.2
15/03/1996;7.5
15/04/1996;12.3
15/05/1996;11.2
15/06/1996;13.9
15/07/1996;13.4
15/08/1996;11.9
15/09/1996;10.8
15/10/1996;19.6
15/11/1996;15.6
15/12/1996;7.6
15/01/1997;10.8
15/02/1997;9.3
15/03/1997;15.0
15/04/1997;12.4
15/05/1997;17.6
15/06/1997;14.8
15/07/1997;21.5
15/08/1997;17.4
15/09/1997;24.2
15/10/1997;16.8
15/11/1997;20.3
15/12/1997;12.5
15/01/1998;20.8
15/02/1998;19.2
15/03/1998;25.9
15/04/1998;23.0
15/05/1998;25.0
15/06/1998;19.4
15/07/1998;24.6
15/08/1998;19.8
15/09/1998;21.7
15/10/1998;21.8
15/11/1998;20.5
15/12/1998;21.5
15/01/1999;22.7
15/02/1999;24.9
15/03/1999;20.6
15/04/1999;22.1
15/05/1999;18.8
15/06/1999;20.6
15/07/1999;19.8
15/08/1999;22.9
15/09/1999;18.0
15/10/1999;28.0
15/11/1999;17.9
15/12/1999;28.8
15/01/2000;22.4
15/02/2000;28.6
15/03/2000;24.5
15/04/2000;27.2
15/05/2000;20.7
15/06/2000;26.7
15/07/2000;20.0
15/08/2000;26.3
15/09/2000;23.0
15/10/2000;30.3
