Time,GMSL
15-03-1993,1.4
15-03-1994,2.7
15-03-1995,5.7
15-03-1996,11.4
15-03-1997,16.1
15-03-1998,21.9
15-03-1999,22.1
15-03-2000,25
15-03-2001,29.6
15-03-2002,33.3
15-03-2003,35.4
15-03-2004,37.6
15-03-2005,41.4
15-03-2006,42.9
15-03-2007,43.2
15-03-2008,48.6
15-03-2009,50.5
15-03-2010,51.9
15-03-2011,52.6
15-03-2012,53.4
15-03-2013,54.9
15-03-2014,55.3
15-03-2015,55.8
15-03-2016,56.4
15-03-2017,57.2
15-03-2018,57.9
15-03-2018,58.3
15-03-2019,58.8
15-03-2020,59.9
15-03-2021,60.2
