#title = mean sea level anomaly global ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 3.04 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-16.11000,,,
1992.9865,-17.81000,,,
1993.0123,-14.71000,,,
1993.0407,-19.71000,,,
1993.0660,-25.11000,,,
1993.0974,-29.21000,,,
1993.1206,-27.51000,,,
1993.1493,-21.71000,,,
1993.1765,-18.81000,,,
1993.2037,-19.31000,,,
1993.2307,-22.81000,,,
1993.2851,-26.11000,,,
1993.3123,-19.91000,,,
1993.3394,-19.71000,,,
1993.3665,-17.01000,,,
1993.3937,-21.91000,,,
1993.4208,-26.61000,,,
1993.4480,-23.61000,,,
1993.4751,-18.81000,,,
1993.5021,-15.51000,,,
1993.5294,-16.11000,,,
1993.5837,-22.91000,,,
1993.6117,-18.71000,,,
1993.6381,-13.31000,,,
1993.6652,-8.21000,,,
1993.6923,-8.91000,,,
1993.7189,-14.01000,,,
1993.7466,-13.41000,,,
1993.7738,-7.91000,,,
1993.8009,-8.21000,,,
1993.8553,-5.31000,,,
1993.8824,-11.91000,,,
1993.9098,-13.51000,,,
1993.9367,-12.31000,,,
1993.9639,-6.01000,,,
1993.9907,-5.41000,,,
1994.0181,-15.31000,,,
1994.0452,-16.31000,,,
1994.0723,-18.71000,,,
1994.0995,-21.01000,,,
1994.1267,-19.91000,,,
1994.1539,-13.91000,,,
1994.1809,-13.41000,,,
1994.2353,-18.51000,,,
1994.2624,-16.31000,,,
1994.2896,-14.21000,,,
1994.3168,-11.71000,,,
1994.3439,-15.51000,,,
1994.3710,-20.41000,,,
1994.3982,-23.51000,,,
1994.4253,-20.61000,,,
1994.4524,-14.21000,,,
1994.5067,-20.31000,,,
1994.5339,-18.61000,,,
1994.5610,-20.61000,,,
1994.5882,-15.71000,,,
1994.6154,-11.81000,,,
1994.6425,-7.41000,,,
1994.6697,-8.61000,,,
1994.6968,-9.61000,,,
1994.7239,-11.01000,,,
1994.7510,-8.81000,,,
1994.7782,-6.41000,,,
1994.8054,0.09000,,,
1994.8325,-1.61000,,,
1994.8868,-10.61000,,,
1994.9140,-11.91000,,,
1994.9412,-3.31000,,,
1994.9684,-3.71000,,,
1994.9955,-8.21000,,,
1995.0226,-12.31000,,,
1995.0497,-15.91000,,,
1995.0769,-8.51000,,,
1995.1040,-9.81000,,,
1995.1312,-11.61000,,,
1995.1583,-12.31000,,,
1995.2127,-11.31000,,,
1995.2398,-16.71000,,,
1995.2669,-11.21000,,,
1995.2941,-9.11000,,,
1995.3212,-13.11000,,,
1995.3755,-17.91000,,,
1995.4028,-14.81000,,,
1995.4298,-9.31000,,,
1995.4569,-12.41000,,,
1995.4841,-17.71000,,,
1995.5384,-20.61000,,,
1995.5655,-15.51000,,,
1995.5927,-11.61000,,,
1995.6199,-7.31000,,,
